building_address,latitude,longitude
"1930 Columbia Rd NW, Washington, DC",38.918159,-77.0449776
"1101 New Hampshire Ave NW, Washington, DC",38.9039873,-77.048126
"825 New Hampshire Ave NW, Washington, DC",38.90022800000001,-77.05181400000002
"2730 Wisconsin Ave NW, Washington, DC",38.9259847,-77.07340390000002
"300 L St NE, Washington, DC",38.9039762,-77.0017015
"1700 Harvard St NW, Washington, DC",38.926973600000004,-77.04043279999998
"1415 Rhode Island Ave NW, Washington, DC",38.9087289,-77.0326434
"1401 N St NW, Washington, DC",38.90732149999999,-77.03223759999999
"5100 Connecticut Avenue Northwest, Washington, DC",38.956115999999994,-77.070792
"3206 Wisconsin Ave NW, Washington, DC",38.9320526,-77.07295040000001
"4900-20 Fort Totten Dr NE, Washington, DC",38.9506266,-77.007573
"3725 Macomb St NW, Washington, DC",38.933738,-77.0736699
"2620 16th Street Northwest, Washington, DC",38.9238151,-77.03683869999998
"79 Potomac Ave SE, Washington, DC",38.871234,-77.0072947
"1925 14th Street Northwest, Washington, DC",38.91658220000001,-77.0317527
"1919 3rd Street Northwest, Washington, DC",38.9165323,-77.0155587
"2901 Connecticut Ave NW, Washington, DC",38.928307000000004,-77.05388289999998
"211 Elm Street Northwest, Washington, DC",38.9178955,-77.01483890000002
"2800 Quebec St NW, Washington, DC",38.9362951,-77.05569840000001
"4849 Connecticut Ave NW, Washington, DC",38.952981,-77.0682288
"1600 Maryland Ave NE, Washington, DC",38.901587400000004,-76.98073289999998
"2701 Calvert St NW, Washington, DC",38.9235305,-77.05637759999998
"4510 2nd St NE, Washington, DC",38.9443208,-77.0039287
"1777 Columbia Road Northwest, Washington, DC",38.9232962,-77.0420078
"33 N St NE, Washington, DC",38.9070287,-77.00777550000002
"1100 1st St SE, Washington, DC",38.8772468,-77.00561590000001
"3146 16th St NW, Washington, DC",38.9299814,-77.03704379999999
"2601 Virginia Ave NW, Washington, DC",38.900282000000004,-77.05533199999998
"1225 22nd St NW, Washington, DC",38.906220700000006,-77.0488022
"1475 Euclid St NW, Washington, DC",38.9236153,-77.03499219999998
"1812 23rd St SE, Washington, DC",38.8674213,-76.9731292
"1702 Summit Pl NW, Washington, DC",38.9264691,-77.0403898
"3213 Wisconsin Avenue, Washington, DC",38.933066499999995,-77.07208960000001
"100 Fort Drive Northeast, Washington, DC",38.941152,-77.005166
"2445 15th Street Northwest, Washington, DC",38.9228231,-77.03508219999998
"2100 Maryland Ave NE, Washington, DC",38.9044956,-76.9735377
"2101 New Hampshire Ave NW, Washington, DC",38.91837960000001,-77.0348123
"2 Forrester St SE, Washington, DC",38.8252896,-77.0062233
"4530 Connecticut Ave NW, Washington, DC",38.9490248,-77.0669247
"1701 Massachusetts Ave, Washington, DC",38.908430700000004,-77.03877259999999
"2013 New Hampshire Ave NW, Washington, DC",38.9174876,-77.035442
"4550 Connecticut Ave. NW, Washington, DC",38.9495162,-77.0670146
"2702 Wisconsin Ave NW, Washington, DC",38.92499229999999,-77.0736699
"2701 Connecticut Ave NW, Washington, DC",38.9257251,-77.0524448
"2800 Woodley Rd NW, Washington, DC",38.9256994,-77.0570638
"1301 Vermont Ave NW, Washington, DC",38.9075184,-77.0306356
"3800 14th St NW, Washington, DC",38.9382124,-77.0335218
"1707 Columbia Rd NW, Washington, DC",38.9251044,-77.0396702
"1673 Columbia Rd NW, Washington, DC",38.92534439999999,-77.0389505
"2200 19th Street Northwest, Washington, DC",38.919212200000004,-77.0450676
"1414 17th St NW, Washington, DC",38.9092055,-77.0388605
"2620 13th St NW, Washington, DC",38.9242518,-77.02995419999998
"2633-2645 Naylor Road Southeast, Washington, DC",38.8624367,-76.97026939999998
"4115 Wisconsin Avenue Northwest, Washington, DC",38.942910299999994,-77.07647800000001
"601 24th Street Northwest, Washington, DC",38.8980763,-77.05115970000001
"816 E St NE, Washington, DC",38.8963692,-76.9939677
"2426 19th Street Northwest, Washington, DC",38.9215904,-77.04623699999998
"1221 Van Street Southeast, Washington, DC",38.87500670000001,-77.00844860000002
"880 New Jersey Ave SE, Washington, DC",38.8796739,-77.0043561
"800 New Jersey Avenue Southeast, Washington, DC",38.880241,-77.005152
"2 M Street NE, Washington, DC",38.90605190000001,-77.0087203
"2011 15th St NW, Washington, DC",38.9178974,-77.0340926
"1240 4th St, Washington, DC",38.9070755,-77.0163736
"2505 13th St NW, Washington, DC",38.9226463,-77.0292345
"4201 Massachusetts Ave NW, Washington, DC",38.935681,-77.08185519999998
"1717 E Capitol St SE, Washington, DC",38.8894333,-76.9798776
"2101 Champlain St NW, Washington, DC",38.9185203,-77.039985
"1600 Pennsylvania Ave SE, Washington, DC",38.8791765,-76.98181269999998
"2401 Pennsylvania Ave NW, Washington, DC",38.9032952,-77.05174269999998
"2201 N St NW, Washington, DC",38.9074997,-77.04938539999998
"460 L St NW, Washington, DC",38.90359229999999,-77.01794740000001
"701 2nd St NE, Washington, DC",38.8991263,-77.00330500000001
"215 C St SE, Washington, DC",38.8857981,-77.0027813
"7035 Blair Rd NW, Washington, DC",38.97568589999999,-77.0187981
"1750 P St NW, Washington, DC",38.9094281,-77.0408396
"2651 16th Street Northwest, Washington, DC",38.924586600000005,-77.0359593
"1840 Columbia Road Northwest, Washington, DC",38.9216296,-77.04322640000001
"2900 Adams Mill Road Northwest, Washington, DC",38.926903499999995,-77.0435383
"501 12th Street Northeast, Washington, DC",38.8963632,-76.9898901
"750 3rd Street Nw, Washington, DC",38.899037899999996,-77.0155587
"3828 Georgia Ave NW, Washington, DC",38.9381939,-77.02480539999998
"151 Q St NE, Washington, DC",38.91080609999999,-77.0037105
"1921 8th St NW, Washington, DC",38.916290100000005,-77.0226667
"230 Rhode Island Ave NE, Washington, DC",38.919534000000006,-77.0023314
"3930 Georgia Ave NW, Washington, DC",38.939528700000004,-77.02527590000003
"3945 Connecticut Ave NW, Washington, DC",38.940523,-77.060923
"1620 Fuller St NW, Washington, DC",38.9245204,-77.0373312
"5661 3rd St NE, Washington, DC",38.95913529999999,-77.0027071
"850 Quincy St NW, Washington, DC",38.937465100000004,-77.02492209999998
"1483 Newton St NW, Washington, DC",38.932914000000004,-77.0347448
"2700 Q St NW, Washington, DC",38.91023380000001,-77.05586170000001
"1920 14th St NW, Washington, DC",38.91632429999999,-77.03231740000001
"1601 Argonne Pl NW, Washington, DC",38.926678,-77.03868059999998
"2324 41st St NW, Washington, DC",38.9213258,-77.08104420000001
"2828 Connecticut Ave NW, Washington, DC",38.92745479999999,-77.0541527
"1908 Florida Ave NW, Washington, DC",38.9149838,-77.04455709999998
"3040 Idaho Ave NW, Washington, DC",38.9301207,-77.0786162
"3000 Connecticut Ave NW, Washington, DC",38.9298333,-77.0560416
"300 Massachusetts Ave NW, Washington, DC",38.899479799999995,-77.01591859999998
"2420 16th St NW, Washington, DC",38.9215914,-77.0369714
"1803 Biltmore St NW, Washington, DC",38.922478000000005,-77.04330399999998
"1221 24th St NW, Washington, DC",38.90653820000001,-77.051096
"2100 Connecticut Ave NW, Washington, DC",38.917910799999994,-77.0477662
"1301 Massachusetts Ave NW, Washington, DC",38.905194,-77.029842
"3737 Legation St NW, Washington, DC",38.9623427,-77.0726806
"5437 Connecticut Ave NW, Washington, DC",38.9628951,-77.0740296
"1464 Rhode Island Ave NW, Washington, DC",38.9078372,-77.03404420000001
"2401 Calvert St NW, Washington, DC",38.923877600000004,-77.05322170000002
"3501 13th St NW, Washington, DC",38.932695,-77.02941440000001
"1915 Kalorama Rd NW, Washington, DC",38.919604,-77.0456973
"2147 O St NW, Washington, DC",38.9088432,-77.0484858
