apt_rent,apt_footage,rooms,distance_wh,distance_cap,building_units_available,adj_open,adj_large,adj_private,adj_great,adj_new,adj_beautiful,adj_high,adj_natural,adj_historic,adj_newly,adj_short,adj_ready,adj_furnished,adj_convenient,adj_windows
1775,474,1,3495,1614,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2085,622,2,3495,1614,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2770,999,3,3495,1614,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1775,474,1,3495,1614,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2085,622,2,3495,1614,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2770,999,3,3495,1614,148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2188,680,1,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2104,974,2,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3385,1377,3,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2188,680,1,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2104,974,2,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3385,1377,3,2807,1289,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1311,480,1,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2099,749,2,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3566,1320,3,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1311,480,1,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2099,749,2,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3566,1320,3,1597,2057,171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1950,592,1,2106,1185,124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2074,722,2,2106,1185,124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3090,1042,3,2106,1185,124,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1608,469,1,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1853,697,2,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,1076,3,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,469,1,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,697,2,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,1076,3,2524,1750,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,476,1,3324,2224,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,655,2,3324,2224,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2799,1036,3,3324,2224,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,476,1,3324,2224,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,655,2,3324,2224,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2799,1036,3,3324,2224,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,513,1,2403,3799,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2111,756,2,2403,3799,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3450,1096,3,2403,3799,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1676,337,1,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980,732,2,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3025,1036,3,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1676,337,1,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980,732,2,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3025,1036,3,2133,1810,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1950,424,1,2061,4487,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2215,560,2,2061,4487,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3725,880,3,2061,4487,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1850,454,1,3011,1620,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,728,2,3011,1620,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3271,1019,3,3011,1620,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,435,1,2132,3714,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1901,582,2,2132,3714,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3112,950,3,2132,3714,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,588,1,2224,2985,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,855,2,2224,2985,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3280,1054,3,2224,2985,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1556,475,1,3310,1451,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1638,685,2,3310,1451,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2990,948,3,3310,1451,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1695,542,1,3362,1333,224,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1770,748,2,3362,1333,224,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3111,1204,3,3362,1333,224,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1858,579,1,1795,2562,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286,745,2,1795,2562,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3540,1003,3,1795,2562,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,535,1,2537,1600,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,758,2,2537,1600,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910,1155,3,2537,1600,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,582,1,3966,1781,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1970,719,2,3966,1781,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3010,1151,3,3966,1781,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1940,762,2,3956,1851,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3335,1282,3,3956,1851,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300,290,1,1813,3717,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,618,2,1813,3717,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2875,773,3,1813,3717,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1525,359,1,1848,4000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,558,2,1848,4000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,826,3,1848,4000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,405,1,407,2630,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,696,2,407,2630,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,407,2630,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,516,1,2283,3976,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,768,2,2283,3976,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,1041,3,2283,3976,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,551,1,3112,1142,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,746,2,3112,1142,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,1015,3,3112,1142,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,573,1,2778,1780,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1837,743,2,2778,1780,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2583,1122,3,2778,1780,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,483,1,3324,1261,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,725,2,3324,1261,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3585,1079,3,3324,1261,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,536,1,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,729,2,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3178,1170,3,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,536,1,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,729,2,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3178,1170,3,3302,1187,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,636,2,2666,4382,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1990,636,2,2666,4382,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1899,520,1,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,785,2,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,520,1,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,785,2,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,1480,3810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,751,2,2656,1518,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3719,1241,3,2656,1518,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2033,751,2,2656,1518,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3719,1241,3,2656,1518,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1610,458,1,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1695,568,2,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2900,910,3,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1610,458,1,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1695,568,2,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2900,910,3,1789,1620,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1650,800,2,4998,7053,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,800,2,4998,7053,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,480,1,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,763,2,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,480,1,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,763,2,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,5238,2761,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,501,1,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1705,706,2,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2132,998,3,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1650,501,1,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1705,706,2,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2132,998,3,4526,5484,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1997,464,1,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,660,2,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3329,901,3,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,464,1,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,660,2,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3329,901,3,2958,1258,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,719,2,1019,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,1759,3,1019,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,719,2,1019,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,1759,3,1019,1520,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,499,1,858,2391,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,635,2,858,2391,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,499,1,858,2391,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,635,2,858,2391,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,459,1,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,619,2,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3130,953,3,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,459,1,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,619,2,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3130,953,3,2558,3566,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,500,1,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1775,750,2,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2970,1220,3,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1461,500,1,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1775,750,2,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2970,1220,3,3595,1674,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1699,409,1,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,684,2,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,1012,3,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1699,409,1,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
