building_address,latitude,longitude
"1765 U Street Northwest, Washington, DC",38.9171732,-77.04058119999999
"900 11th Street Southeast, Washington, DC",38.8789725,-76.9911705
"1113 Trenton Place Southeast, Washington, DC",38.8401685,-76.99084719999999
"409 Upshur Street Northwest, Washington, DC",38.9422144,-77.0176721
"800 4th Street Southwest, Washington, DC",38.880266,-77.0170883
"3235 15th Place Southeast, Washington, DC",38.8486324,-76.9827802
"1537 Gales Street NE, Washington, DC",38.8982916,-76.98204249999999
"1859 Monroe Street Northwest, Washington, DC",38.9334993,-77.043156
"1409 G Street Northeast, Washington, DC",38.89864590000001,-76.9850527
"1440 Columbia Road Northwest, Washington, DC",38.9271279,-77.03401699999999
"2143 Suitland Ter SE, Washington, DC",38.8620662,-76.9496102
"2407 21st Place Northeast, Washington, DC",38.9218768,-76.97494979999999
"525 Water Street SW, Washington, DC",38.876059,-77.02023989999999
"1219 Pleasant Street Southeast, Washington, DC",38.8636754,-76.9894964
"1906 R Street Northwest, Washington, DC",38.912328,-77.044016
"4419 3rd Street Northwest, Washington, DC",38.944909,-77.01527759999999
"3804 Rodman St NW, Washington, DC",38.939289,-77.0753457
"1841 R Street Northwest, Washington, DC",38.9127887,-77.042965
"1330 New Hampshire Avenue Northwest, Washington, DC",38.9083086,-77.0451575
"200 C Street Southeast, Washington, DC",38.8862533,-77.00313899999999
"4702 Jay Street Northeast, Washington, DC",38.901671,-76.9353853
"1458 Columbia Road Northwest, Washington, DC",38.92724,-77.0342734
"2613 Martin Luther King Jr Avenue Southeast, Washington, DC",38.8588049,-76.9954486
"3217 Wisconsin Avenue Northwest, Washington, DC",38.9331878,-77.0721635
"2909 Chancellor's Way Northeast, Washington, DC",38.9271855,-76.9981074
"213 12th Street Northeast, Washington, DC",38.892384,-76.9899238
"4118 Grant Street Northeast, Washington, DC",38.8985826,-76.9435333
"625 Buchanan Street Northeast, Washington, DC",38.9460606,-76.9973145
"227 63rd Street Northeast, Washington, DC",38.8926737,-76.91079549999999
"1816 T Street Northwest, Washington, DC",38.9155595,-77.0423959
"641 Lamont Street Northwest, Washington, DC",38.9314418,-77.02283229999999
"1159 3rd Street NE, Washington, DC",38.9050849,-77.001847
"2617 Martin Luther King Jr Avenue Southeast, Washington, DC",38.85889580000001,-76.9959016
"2425 14th Street Northwest, Washington, DC",38.9214771,-77.0316387
"1250 Girard Street Northwest, Washington, DC",38.925529,-77.02941
"3870 Rodman Street Northwest, Washington, DC",38.93879,-77.0768176
"521 Kennedy Street Northwest, Washington, DC",38.956586,-77.0207058
"1913 9th Street Northwest, Washington, DC",38.9161534,-77.0237689
"35 Todd Place Northeast, Washington, DC",38.91612500000001,-77.0077642
"83 Danbury Street Southwest, Washington, DC",38.827944,-77.00973499999999
"4317 15th Street Northwest, Washington, DC",38.9435621,-77.034205
"2417 Shannon Place Southeast, Washington, DC",38.8635421,-76.9936446
"7213 Georgia Avenue Northwest, Washington, DC",38.9777551,-77.0262825
"3465 14th Street Northwest, Washington, DC",38.9340998,-77.0324507
"1312 Park Road Northwest, Washington, DC",38.930898,-77.0302899
"3235 M St SE, Washington, DC",38.8754607,-76.9594226
"5624 13th Street Northwest, Washington, DC",38.9580896,-77.029943
"425 L Street Northwest, Washington, DC",38.9040838,-77.0173339
"1311 Pennsylvania Avenue Southeast, Washington, DC",38.8810008,-76.9877765
"611 Florida Avenue Northwest, Washington, DC",38.91584,-77.0205411
